id,eventoTipoId,nombre,costo,gasto,utilidad,precio,status,posicion,createdAt,updatedAt
cm3usnfeo0003nh0mufexcq0z,cm3t5e6ro0001txdwurvtrmit,Todo incluido 8hrs,38770.0,5550.0,15053.75,80000.0,active,3,1732404064704,1733429322135
cm3xd5qxa000114nfl3kjqfjn,cm3t5e6ro0001txdwurvtrmit,Estándar 6hrs,16390.0,3210.0,7388.75,36000.0,active,2,1732559444110,1733429322127
cm3xgovoz00tb14nfmufoxe2y,cm3t5e6ro0001txdwurvtrmit,Básico 6hrs,10890.0,2370.0,4920.0,25000.0,active,1,1732565375601,1733429322127
cm3xgvy1g00z914nf1038l1qs,cm3t5igp00002txdwkf81z76s,Básico 5hrs,5200.0,600.0,2618.75,12000.0,active,7,1732565705236,1733429322133
cm3xhea0o010o14nfm0v8w9zv,cm3t3y9r70000txdwpxtpkoy6,Todo incluido,41170.0,5750.0,16841.25,85500.0,active,6,1732566560568,1733429322128
cm3xhiovg014a14nfew84c4x5,cm3t3y9r70000txdwpxtpkoy6,Estándar,18255.0,2690.0,6966.25,38000.0,active,5,1732566766444,1733429322137
cm3xhl7xb018414nfopnaqyfk,cm3t3y9r70000txdwpxtpkoy6,Básico 5hrs,7350.0,1000.0,3398.75,16000.0,active,4,1732566884447,1733429322128
cm3xikhc701mm14nf2m4w1hw6,cm3t5iltx0003txdwwaex79td,Estándar,NULL,NULL,NULL,NULL,active,8,1732568529605,1733429322130
cm3xil9gr01mo14nfo1paqqea,cm3xh3pzk010g14nf7zdky1ct,Sesión de estudio estándar,1000.0,0.0,500.0,2000.0,active,9,1732568566059,1733429322132
